text,label
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.",Engineering
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.  [attachment: page_5.pdf],Safety
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.  Ref: LEG-086 | Date: 2025-09-18.,Legal
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: ENG-078 | Date: 2025-09-28. [attachment: page_8.pdf]",Engineering
Budget reforecast Q3: increased OPEX for depot expansion by 12%. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: FIN-062 | Date: 2025-09-07.,Finance
Leave policy update: employees entitled to 18 casual leaves per year.,HR
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.",Engineering
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. [attachment: page_4.pdf],Safety
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: ENG-079 | Date: 2025-09-27.,Engineering
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.,HR
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.,Engineering
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.  Ref: ENG-119 | Date: 2025-09-25.",Engineering
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.  [attachment: page_7.pdf]",Engineering
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.  Ref: LEG-109 | Date: 2025-09-28.,Legal
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  [attachment: page_9.pdf],Safety
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: FIN-115 | Date: 2025-09-07.",Finance
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.,Engineering
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net.",Finance
Budget reforecast Q3: increased OPEX for depot expansion by 12%.,Finance
